iteration,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,policy_loss,vf_loss,entropy,kl,elapsed_time,best_reward
151,-624.65,-110.0,-1630.0,99.0,0,0,0,0,7351.3279774188995,-506.55
152,-610.65,-140.0,-1630.0,99.0,0,0,0,0,7401.6058049201965,-506.55
153,-622.95,-185.0,-1560.0,99.0,0,0,0,0,7449.249568939209,-506.55
154,-578.7,-185.0,-1485.0,99.0,0,0,0,0,7495.8435225486755,-506.55
155,-571.45,-115.0,-1410.0,99.0,0,0,0,0,7545.950866699219,-506.55
156,-560.5,-115.0,-1425.0,99.0,0,0,0,0,7595.2825927734375,-506.55
157,-594.85,-105.0,-1425.0,99.0,0,0,0,0,7643.4608426094055,-506.55
158,-580.2,-105.0,-1700.0,99.0,0,0,0,0,7692.810190677643,-506.55
159,-589.05,-105.0,-1700.0,99.0,0,0,0,0,7740.9409301280975,-506.55
160,-629.85,-105.0,-2145.0,99.0,0,0,0,0,7790.675142526627,-506.55
161,-629.45,-105.0,-2145.0,99.0,0,0,0,0,7840.165588140488,-506.55
162,-651.75,-110.0,-2145.0,99.0,0,0,0,0,7891.17951631546,-506.55
163,-643.4,-110.0,-2145.0,99.0,0,0,0,0,7938.57239317894,-506.55
164,-615.25,-110.0,-2145.0,99.0,0,0,0,0,7987.298177480698,-506.55
165,-586.4,-140.0,-1590.0,99.0,0,0,0,0,8035.251758813858,-506.55
166,-584.35,-140.0,-1590.0,99.0,0,0,0,0,8085.910386562347,-506.55
167,-575.1,-140.0,-1380.0,99.0,0,0,0,0,8133.577759504318,-506.55
168,-574.65,-140.0,-1380.0,99.0,0,0,0,0,8183.009062290192,-506.55
169,-585.2,-155.0,-1380.0,99.0,0,0,0,0,8233.072320222855,-506.55
170,-595.85,-140.0,-1380.0,99.0,0,0,0,0,8280.84576010704,-506.55
171,-582.8,-140.0,-1380.0,99.0,0,0,0,0,8329.488321781158,-506.55
172,-556.5,-120.0,-1450.0,99.0,0,0,0,0,8380.157458543777,-506.55
173,-573.5,-120.0,-1590.0,99.0,0,0,0,0,8429.37373495102,-506.55
174,-572.05,-115.0,-1590.0,99.0,0,0,0,0,8480.410176753998,-506.55
175,-616.25,-115.0,-1615.0,99.0,0,0,0,0,8530.049811601639,-506.55
176,-618.65,-115.0,-1615.0,99.0,0,0,0,0,8577.881925821304,-506.55
177,-632.45,-115.0,-1615.0,99.0,0,0,0,0,8625.613410949707,-506.55
178,-658.0,-115.0,-1830.0,99.0,0,0,0,0,8672.937464952469,-506.55
179,-636.35,-160.0,-1830.0,99.0,0,0,0,0,8720.08028101921,-506.55
180,-604.2,-155.0,-1830.0,99.0,0,0,0,0,8772.73619890213,-506.55
181,-574.8,-145.0,-1830.0,99.0,0,0,0,0,8819.14834022522,-506.55
182,-594.55,-145.0,-1830.0,99.0,0,0,0,0,8869.064666509628,-506.55
183,-588.95,-145.0,-1650.0,99.0,0,0,0,0,8918.736201763153,-506.55
184,-590.15,-145.0,-1435.0,99.0,0,0,0,0,8967.870882511139,-506.55
185,-583.05,-145.0,-1530.0,99.0,0,0,0,0,9015.705590724945,-506.55
186,-602.95,-170.0,-1530.0,99.0,0,0,0,0,9065.831295967102,-506.55
187,-621.8,-145.0,-1945.0,99.0,0,0,0,0,9115.589012861252,-506.55
188,-611.75,-145.0,-1945.0,99.0,0,0,0,0,9164.575902938843,-506.55
189,-610.05,-110.0,-1945.0,99.0,0,0,0,0,9213.038280963898,-506.55
190,-643.2,-110.0,-1945.0,99.0,0,0,0,0,9261.773104906082,-506.55
191,-648.05,-110.0,-1945.0,99.0,0,0,0,0,9310.548357725143,-506.55
192,-642.1,-110.0,-1735.0,99.0,0,0,0,0,9357.932705879211,-506.55
193,-612.55,-110.0,-1735.0,99.0,0,0,0,0,9408.105034351349,-506.55
194,-619.3,-130.0,-1735.0,99.0,0,0,0,0,9458.434345245361,-506.55
195,-621.2,-130.0,-1735.0,99.0,0,0,0,0,9506.87898683548,-506.55
196,-620.25,-130.0,-1735.0,99.0,0,0,0,0,9554.573588371277,-506.55
197,-620.0,-130.0,-1645.0,99.0,0,0,0,0,9601.387020349503,-506.55
198,-635.05,-115.0,-1645.0,99.0,0,0,0,0,9647.966200590134,-506.55
199,-670.45,-115.0,-2160.0,99.0,0,0,0,0,9698.538879871368,-506.55
200,-668.65,-115.0,-2160.0,99.0,0,0,0,0,9748.8545088768,-506.55
201,-651.95,-115.0,-2160.0,99.0,0,0,0,0,9799.462979793549,-506.55
202,-639.45,-115.0,-2345.0,99.0,0,0,0,0,9848.579696178436,-506.55
203,-652.0,-125.0,-2345.0,99.0,0,0,0,0,9896.595000743866,-506.55
204,-617.25,-150.0,-2345.0,99.0,0,0,0,0,9947.061740398407,-506.55
205,-593.9,-100.0,-2345.0,99.0,0,0,0,0,10000.972228765488,-506.55
206,-577.0,-100.0,-2345.0,99.0,0,0,0,0,10053.365585565567,-506.55
207,-548.4,-100.0,-1755.0,99.0,0,0,0,0,10106.021482944489,-506.55
208,-542.6,-100.0,-1590.0,99.0,0,0,0,0,10158.58631181717,-506.55
209,-527.0,-100.0,-1590.0,99.0,0,0,0,0,10208.392248153687,-506.55
210,-509.3,-115.0,-1590.0,99.0,0,0,0,0,10257.465205907822,-506.55
211,-530.4,-130.0,-1590.0,99.0,0,0,0,0,10307.86107468605,-506.55
212,-546.05,-130.0,-1590.0,99.0,0,0,0,0,10356.730070114136,-506.55
213,-532.0,-130.0,-1495.0,99.0,0,0,0,0,10406.368555545807,-506.55
214,-525.5,-105.0,-1495.0,99.0,0,0,0,0,10454.729974985123,-506.55
215,-576.6,-105.0,-1495.0,99.0,0,0,0,0,10504.316519021988,-506.55
216,-594.1,-105.0,-1495.0,99.0,0,0,0,0,10553.52774977684,-506.55
217,-584.85,-105.0,-1440.0,99.0,0,0,0,0,10604.08959364891,-506.55
218,-597.25,-105.0,-1440.0,99.0,0,0,0,0,10651.042776346207,-506.55
219,-590.55,-80.0,-1440.0,99.0,0,0,0,0,10700.369255542755,-506.55
220,-611.1,-80.0,-1600.0,99.0,0,0,0,0,10747.86929011345,-506.55
221,-596.9,-80.0,-1600.0,99.0,0,0,0,0,10795.8551902771,-506.55
222,-582.7,-80.0,-1600.0,99.0,0,0,0,0,10847.044345617294,-506.55
223,-627.1,-80.0,-1890.0,99.0,0,0,0,0,10897.607460975647,-506.55
224,-634.1,-155.0,-1890.0,99.0,0,0,0,0,10947.404656648636,-506.55
225,-607.8,-155.0,-1890.0,99.0,0,0,0,0,10997.041226148605,-506.55
226,-598.25,-155.0,-1890.0,99.0,0,0,0,0,11046.978955030441,-506.55
227,-594.15,-190.0,-1890.0,99.0,0,0,0,0,11096.200511693954,-506.55
228,-588.8,-160.0,-1640.0,99.0,0,0,0,0,11146.589980840683,-506.55
229,-564.6,-160.0,-1640.0,99.0,0,0,0,0,11197.375574588776,-506.55
230,-580.8,-160.0,-2230.0,99.0,0,0,0,0,11246.630878925323,-506.55
231,-569.7,-160.0,-2230.0,99.0,0,0,0,0,11294.627876758575,-506.55
232,-588.8,-70.0,-2230.0,99.0,0,0,0,0,11345.426828861237,-506.55
233,-587.85,-70.0,-2230.0,99.0,0,0,0,0,11395.292692899704,-506.55
234,-662.25,-70.0,-2230.0,99.0,0,0,0,0,11445.89102602005,-506.55
