iteration,episode_reward,smoothed_reward,episode_length,elapsed_time,best_reward
245,-2860,-2053.630802306322,99,1168.2647411823273,-540
246,-2645,-2112.7677220756896,99,1172.9606482982635,-540
247,-2525,-2153.990949868121,99,1178.4402611255646,-540
248,-1820,-2120.591854881309,99,1182.8808434009552,-540
249,-1330,-2041.532669393178,99,1188.0272433757782,-540
250,-1445,-1981.8794024538602,99,1192.1785862445831,-540
251,-1505,-1934.1914622084741,99,1196.3784580230713,-540
252,-2100,-1950.7723159876268,99,1200.8341934680939,-540
253,-1795,-1935.1950843888642,99,1205.7411193847656,-540
254,-880,-1829.6755759499779,99,1210.2524297237396,-540
255,-1230,-1769.7080183549801,99,1215.3922998905182,-540
256,-2315,-1824.2372165194822,99,1220.4534437656403,-540
257,-2400,-1881.813494867534,99,1224.7988102436066,-540
258,-1620,-1855.6321453807807,99,1229.5455975532532,-540
259,-2225,-1892.5689308427027,99,1234.220785856247,-540
260,-3255,-2028.8120377584326,99,1238.8250534534454,-540
261,-1590,-1984.9308339825893,99,1244.1005685329437,-540
262,-4230,-2209.4377505843304,99,1248.3948233127594,-540
263,-2165,-2204.9939755258974,99,1252.5975849628448,-540
264,-1520,-2136.494577973308,99,1257.6677114963531,-540
265,-1820,-2104.845120175977,99,1262.8084499835968,-540
266,-1195,-2013.8606081583796,99,1267.3186297416687,-540
267,-1225,-1934.9745473425417,99,1271.8165156841278,-540
268,-1500,-1891.4770926082874,99,1276.694414615631,-540
269,-1790,-1881.3293833474588,99,1281.5022361278534,-540
270,-2220,-1915.196445012713,99,1286.0263035297394,-540
271,-2830,-2006.6768005114418,99,1290.4429230690002,-540
272,-4020,-2208.0091204602977,99,1295.6174993515015,-540
273,-1795,-2166.708208414268,99,1300.5701887607574,-540
274,-1090,-2059.037387572841,99,1304.5576541423798,-540
275,-3910,-2244.1336488155566,99,1309.8198072910309,-540
276,-2395,-2259.2202839340007,99,1314.369546175003,-540
277,-2955,-2328.7982555406006,99,1319.2107858657837,-540
278,-3515,-2447.4184299865406,99,1324.0827131271362,-540
279,-2505,-2453.1765869878864,99,1328.8045613765717,-540
280,-1990,-2406.858928289098,99,1333.6908917427063,-540
281,-2495,-2415.673035460188,99,1338.051498889923,-540
282,-2770,-2451.1057319141696,99,1342.3571248054504,-540
283,-2765,-2482.495158722753,99,1346.8084778785706,-540
284,-3590,-2593.2456428504775,99,1352.0100512504578,-540
285,-2715,-2605.42107856543,99,1356.8793485164642,-540
286,-1710,-2515.878970708887,99,1361.6371140480042,-540
287,-1095,-2373.7910736379986,99,1366.9531445503235,-540
288,-2625,-2398.9119662741987,99,1372.9759154319763,-540
289,-1530,-2312.0207696467787,99,1377.522667646408,-540
290,-1670,-2247.818692682101,99,1382.6858835220337,-540
291,-1895,-2212.5368234138905,99,1388.006947517395,-540
292,-3340,-2325.283141072501,99,1393.058513879776,-540
293,-1650,-2257.754826965251,99,1397.4156675338745,-540
294,-2115,-2243.479344268726,99,1401.8646621704102,-540
295,-1155,-2134.6314098418534,99,1406.7513148784637,-540
296,-1830,-2104.1682688576684,99,1411.705670118332,-540
297,-1825,-2076.251441971902,99,1416.3048243522644,-540
298,-2495,-2118.126297774712,99,1421.3772857189178,-540
299,-2155,-2121.813667997241,99,1425.8089389801025,-540
300,-2025,-2112.132301197517,99,1429.9769551753998,-540
301,-1100,-2010.9190710777652,99,1434.4962956905365,-540
302,-2490,-2058.8271639699888,99,1439.0412578582764,-540
303,-1650,-2017.94444757299,99,1443.8388781547546,-540
304,-2420,-2058.1500028156906,99,1448.984740972519,-540
305,-2595,-2111.8350025341215,99,1453.514083147049,-540
306,-2625,-2163.1515022807093,99,1459.1657021045685,-540
307,-3105,-2257.336352052638,99,1464.034511566162,-540
308,-1125,-2144.1027168473747,99,1468.3204624652863,-540
309,-2290,-2158.6924451626373,99,1473.1711933612823,-540
310,-2195,-2162.3232006463736,99,1477.5776808261871,-540
311,-2540,-2200.090880581736,99,1481.6365501880646,-540
312,-2695,-2249.5817925235624,99,1486.3892402648926,-540
